seed,split,used_in_development
20229,formal_independent,False
20230,formal_independent,False
20231,formal_independent,False
20232,formal_independent,False
20233,formal_independent,False
20234,formal_independent,False
20235,formal_independent,False
20236,formal_independent,False
20237,formal_independent,False
20238,formal_independent,False
20239,formal_independent,False
20240,formal_independent,False
20241,formal_independent,False
20242,formal_independent,False
20243,formal_independent,False
20244,formal_independent,False
20245,formal_independent,False
20246,formal_independent,False
20247,formal_independent,False
20248,formal_independent,False
20249,formal_independent,False
20250,formal_independent,False
20251,formal_independent,False
20252,formal_independent,False
20253,formal_independent,False
20254,formal_independent,False
20255,formal_independent,False
