method,group,element,count,fraction
C0,bad,Mn,13,0.05531914893617021
C0,bad,Eu,25,0.10638297872340426
C0,bad,O,103,0.43829787234042555
C0,bad,F,23,0.09787234042553192
C0,bad,C,6,0.02553191489361702
C0,bad,B,4,0.01702127659574468
C0,bad,Ni,8,0.03404255319148936
C0,bad,Li,3,0.01276595744680851
C0,bad,Gd,5,0.02127659574468085
C0,bad,Re,1,0.00425531914893617
C0,bad,Cr,1,0.00425531914893617
C0,bad,Fe,23,0.09787234042553192
C0,bad,Zn,1,0.00425531914893617
C0,bad,Lu,2,0.00851063829787234
C0,bad,Ga,1,0.00425531914893617
C0,bad,Ba,1,0.00425531914893617
C0,bad,Mg,3,0.01276595744680851
C0,bad,Tl,1,0.00425531914893617
C0,bad,Dy,1,0.00425531914893617
C0,bad,N,4,0.01702127659574468
C0,bad,Co,4,0.01702127659574468
C0,bad,Si,1,0.00425531914893617
C0,bad,H,1,0.00425531914893617
C0,normal,I,2,0.0008928571428571428
C0,normal,Eu,406,0.18125
C0,normal,Au,12,0.005357142857142857
C0,normal,Rh,30,0.013392857142857142
C0,normal,Fe,392,0.175
C0,normal,Mn,132,0.05892857142857143
C0,normal,O,374,0.1669642857142857
C0,normal,Ni,100,0.044642857142857144
C0,normal,B,20,0.008928571428571428
C0,normal,Mg,17,0.007589285714285714
C0,normal,Sn,12,0.005357142857142857
C0,normal,P,16,0.007142857142857143
C0,normal,Si,31,0.013839285714285714
C0,normal,Cd,7,0.003125
C0,normal,Al,25,0.011160714285714286
C0,normal,Ge,30,0.013392857142857142
C0,normal,Co,146,0.06517857142857143
C0,normal,Sr,10,0.004464285714285714
C0,normal,Pd,14,0.00625
C0,normal,Li,40,0.017857142857142856
C0,normal,Cr,6,0.0026785714285714286
C0,normal,Pt,23,0.010267857142857143
C0,normal,H,56,0.025
C0,normal,Ca,13,0.005803571428571429
C0,normal,Ti,7,0.003125
C0,normal,Cu,10,0.004464285714285714
C0,normal,Y,4,0.0017857142857142857
C0,normal,Cl,10,0.004464285714285714
C0,normal,N,32,0.014285714285714285
C0,normal,Ga,17,0.007589285714285714
C0,normal,As,22,0.009821428571428571
C0,normal,Gd,25,0.011160714285714286
C0,normal,Hg,1,0.0004464285714285714
C0,normal,Pb,7,0.003125
C0,normal,Ir,6,0.0026785714285714286
C0,normal,Ba,3,0.0013392857142857143
C0,normal,Nb,8,0.0035714285714285713
C0,normal,Er,1,0.0004464285714285714
C0,normal,Lu,1,0.0004464285714285714
C0,normal,Tb,2,0.0008928571428571428
C0,normal,F,60,0.026785714285714284
C0,normal,W,7,0.003125
C0,normal,Sb,17,0.007589285714285714
C0,normal,V,6,0.0026785714285714286
C0,normal,Dy,1,0.0004464285714285714
C0,normal,K,2,0.0008928571428571428
C0,normal,In,4,0.0017857142857142857
C0,normal,Nd,7,0.003125
C0,normal,Tl,2,0.0008928571428571428
C0,normal,Zr,1,0.0004464285714285714
C0,normal,Re,2,0.0008928571428571428
C0,normal,C,14,0.00625
C0,normal,Be,1,0.0004464285714285714
C0,normal,Br,4,0.0017857142857142857
C0,normal,Zn,22,0.009821428571428571
C0,normal,Hf,1,0.0004464285714285714
C0,normal,Ag,1,0.0004464285714285714
C0,normal,Ce,1,0.0004464285714285714
C0,normal,Ru,1,0.0004464285714285714
C0,normal,Sm,3,0.0013392857142857143
C0,normal,S,5,0.002232142857142857
C0,normal,Tm,3,0.0013392857142857143
C0,normal,Na,4,0.0017857142857142857
C0,normal,Ho,1,0.0004464285714285714
FT0,all,Mn,1555,0.6282828282828283
FT0,all,As,112,0.04525252525252525
FT0,all,Eu,68,0.027474747474747475
FT0,all,Lu,1,0.00040404040404040404
FT0,all,C,506,0.20444444444444446
FT0,all,Fe,33,0.013333333333333334
FT0,all,Mg,4,0.0016161616161616162
FT0,all,B,4,0.0016161616161616162
FT0,all,Al,5,0.00202020202020202
FT0,all,Pt,38,0.015353535353535354
FT0,all,Li,4,0.0016161616161616162
FT0,all,O,4,0.0016161616161616162
FT0,all,P,18,0.007272727272727273
FT0,all,H,11,0.0044444444444444444
FT0,all,Co,6,0.0024242424242424242
FT0,all,Ge,5,0.00202020202020202
FT0,all,N,13,0.0052525252525252525
FT0,all,Pd,3,0.0012121212121212121
FT0,all,Se,1,0.00040404040404040404
FT0,all,Si,4,0.0016161616161616162
FT0,all,Au,22,0.008888888888888889
FT0,all,Ta,1,0.00040404040404040404
FT0,all,Sb,8,0.0032323232323232323
FT0,all,Ga,5,0.00202020202020202
FT0,all,K,1,0.00040404040404040404
FT0,all,Ho,1,0.00040404040404040404
FT0,all,Hg,5,0.00202020202020202
FT0,all,Ir,1,0.00040404040404040404
FT0,all,Pb,1,0.00040404040404040404
FT0,all,Gd,4,0.0016161616161616162
FT0,all,Ti,1,0.00040404040404040404
FT0,all,Os,3,0.0012121212121212121
FT0,all,Cu,3,0.0012121212121212121
FT0,all,In,1,0.00040404040404040404
FT0,all,W,1,0.00040404040404040404
FT0,all,Mo,1,0.00040404040404040404
FT0,all,Ni,2,0.0008080808080808081
FT0,all,Sn,3,0.0012121212121212121
FT0,all,Re,3,0.0012121212121212121
FT0,all,V,1,0.00040404040404040404
FT0,all,Zn,3,0.0012121212121212121
FT0,all,Rh,4,0.0016161616161616162
FT0,all,Er,1,0.00040404040404040404
FT0,all,Be,1,0.00040404040404040404
FT0,all,Sc,1,0.00040404040404040404
FT0,all,Cl,1,0.00040404040404040404
FT0,all,Br,1,0.00040404040404040404
FT0,bad,Mn,439,0.65424739195231
FT0,bad,C,181,0.2697466467958271
FT0,bad,Mg,2,0.0029806259314456036
FT0,bad,B,4,0.005961251862891207
FT0,bad,H,4,0.005961251862891207
FT0,bad,Fe,9,0.013412816691505217
FT0,bad,Co,1,0.0014903129657228018
FT0,bad,O,3,0.004470938897168405
FT0,bad,P,2,0.0029806259314456036
FT0,bad,Eu,2,0.0029806259314456036
FT0,bad,Ir,1,0.0014903129657228018
FT0,bad,Au,6,0.00894187779433681
FT0,bad,As,8,0.011922503725782414
FT0,bad,Ti,1,0.0014903129657228018
FT0,bad,W,1,0.0014903129657228018
FT0,bad,Pt,2,0.0029806259314456036
FT0,bad,Re,1,0.0014903129657228018
FT0,bad,Gd,1,0.0014903129657228018
FT0,bad,V,1,0.0014903129657228018
FT0,bad,N,1,0.0014903129657228018
FT0,bad,Li,1,0.0014903129657228018
FT0,normal,Mn,1116,0.6186252771618626
FT0,normal,As,104,0.057649667405764965
FT0,normal,Eu,66,0.036585365853658534
FT0,normal,Lu,1,0.0005543237250554324
FT0,normal,C,325,0.1801552106430155
FT0,normal,Fe,24,0.013303769401330377
FT0,normal,Al,5,0.002771618625277162
FT0,normal,Pt,36,0.019955654101995565
FT0,normal,Mg,2,0.0011086474501108647
FT0,normal,Li,3,0.0016629711751662971
FT0,normal,O,1,0.0005543237250554324
FT0,normal,P,16,0.008869179600886918
FT0,normal,Co,5,0.002771618625277162
FT0,normal,Ge,5,0.002771618625277162
FT0,normal,N,12,0.0066518847006651885
FT0,normal,Pd,3,0.0016629711751662971
FT0,normal,Se,1,0.0005543237250554324
FT0,normal,H,7,0.003880266075388027
FT0,normal,Si,4,0.0022172949002217295
FT0,normal,Au,16,0.008869179600886918
FT0,normal,Ta,1,0.0005543237250554324
FT0,normal,Sb,8,0.004434589800443459
FT0,normal,Ga,5,0.002771618625277162
FT0,normal,K,1,0.0005543237250554324
FT0,normal,Ho,1,0.0005543237250554324
FT0,normal,Hg,5,0.002771618625277162
FT0,normal,Pb,1,0.0005543237250554324
FT0,normal,Gd,3,0.0016629711751662971
FT0,normal,Os,3,0.0016629711751662971
FT0,normal,Cu,3,0.0016629711751662971
FT0,normal,In,1,0.0005543237250554324
FT0,normal,Mo,1,0.0005543237250554324
FT0,normal,Ni,2,0.0011086474501108647
FT0,normal,Sn,3,0.0016629711751662971
FT0,normal,Zn,3,0.0016629711751662971
FT0,normal,Rh,4,0.0022172949002217295
FT0,normal,Er,1,0.0005543237250554324
FT0,normal,Re,2,0.0011086474501108647
FT0,normal,Be,1,0.0005543237250554324
FT0,normal,Sc,1,0.0005543237250554324
FT0,normal,Cl,1,0.0005543237250554324
FT0,normal,Br,1,0.0005543237250554324
TCL,all,I,4,0.0016161616161616162
TCL,all,Eu,492,0.1987878787878788
TCL,all,Ir,25,0.010101010101010102
TCL,all,Pt,126,0.05090909090909091
TCL,all,Mn,700,0.2828282828282828
TCL,all,Ti,3,0.0012121212121212121
TCL,all,Sn,27,0.01090909090909091
TCL,all,Mo,3,0.0012121212121212121
TCL,all,Gd,64,0.02585858585858586
TCL,all,Si,31,0.012525252525252526
TCL,all,H,23,0.009292929292929294
TCL,all,Fe,242,0.09777777777777778
TCL,all,O,63,0.025454545454545455
TCL,all,Al,32,0.01292929292929293
TCL,all,Mg,25,0.010101010101010102
TCL,all,Sr,4,0.0016161616161616162
TCL,all,Li,13,0.0052525252525252525
TCL,all,Ba,1,0.00040404040404040404
TCL,all,Cd,8,0.0032323232323232323
TCL,all,C,115,0.046464646464646465
TCL,all,Pd,38,0.015353535353535354
TCL,all,Ni,24,0.009696969696969697
TCL,all,Ge,68,0.027474747474747475
TCL,all,In,14,0.0056565656565656566
TCL,all,N,19,0.007676767676767677
TCL,all,Cu,15,0.006060606060606061
TCL,all,Hg,10,0.00404040404040404
TCL,all,Ga,34,0.013737373737373737
TCL,all,La,3,0.0012121212121212121
TCL,all,Tb,4,0.0016161616161616162
TCL,all,Co,62,0.025050505050505052
TCL,all,V,1,0.00040404040404040404
TCL,all,As,20,0.00808080808080808
TCL,all,Ag,3,0.0012121212121212121
TCL,all,Pb,3,0.0012121212121212121
TCL,all,Re,4,0.0016161616161616162
TCL,all,Zn,15,0.006060606060606061
TCL,all,Ho,1,0.00040404040404040404
TCL,all,Rh,25,0.010101010101010102
TCL,all,S,1,0.00040404040404040404
TCL,all,Te,1,0.00040404040404040404
TCL,all,Ca,19,0.007676767676767677
TCL,all,P,29,0.011717171717171718
TCL,all,Dy,4,0.0016161616161616162
TCL,all,Br,3,0.0012121212121212121
TCL,all,Au,11,0.0044444444444444444
TCL,all,Tl,8,0.0032323232323232323
TCL,all,Y,5,0.00202020202020202
TCL,all,Ta,1,0.00040404040404040404
TCL,all,Cs,2,0.0008080808080808081
TCL,all,Sb,3,0.0012121212121212121
TCL,all,Nd,1,0.00040404040404040404
TCL,all,B,6,0.0024242424242424242
TCL,all,Ru,2,0.0008080808080808081
TCL,all,Cr,1,0.00040404040404040404
TCL,all,Os,1,0.00040404040404040404
TCL,all,F,3,0.0012121212121212121
TCL,all,Se,2,0.0008080808080808081
TCL,all,Lu,1,0.00040404040404040404
TCL,all,Zr,1,0.00040404040404040404
TCL,all,Pr,2,0.0008080808080808081
TCL,all,Cl,4,0.0016161616161616162
TCL,bad,Fe,33,0.07857142857142857
TCL,bad,Gd,14,0.03333333333333333
TCL,bad,O,24,0.05714285714285714
TCL,bad,Mn,207,0.4928571428571429
TCL,bad,C,56,0.13333333333333333
TCL,bad,Al,6,0.014285714285714285
TCL,bad,Eu,13,0.030952380952380953
TCL,bad,Ir,1,0.002380952380952381
TCL,bad,In,1,0.002380952380952381
TCL,bad,Zn,1,0.002380952380952381
TCL,bad,Sn,3,0.007142857142857143
TCL,bad,Co,12,0.02857142857142857
TCL,bad,Dy,2,0.004761904761904762
TCL,bad,Ge,8,0.01904761904761905
TCL,bad,H,3,0.007142857142857143
TCL,bad,N,7,0.016666666666666666
TCL,bad,Nd,1,0.002380952380952381
TCL,bad,Sr,1,0.002380952380952381
TCL,bad,Pt,3,0.007142857142857143
TCL,bad,Si,5,0.011904761904761904
TCL,bad,Ni,3,0.007142857142857143
TCL,bad,Se,2,0.004761904761904762
TCL,bad,Pd,10,0.023809523809523808
TCL,bad,B,2,0.004761904761904762
TCL,bad,As,2,0.004761904761904762
TCL,normal,I,4,0.0019464720194647203
TCL,normal,Eu,479,0.23309002433090023
TCL,normal,Ir,24,0.01167883211678832
TCL,normal,Pt,123,0.059854014598540145
TCL,normal,Mn,493,0.23990267639902677
TCL,normal,Ti,3,0.00145985401459854
TCL,normal,Sn,24,0.01167883211678832
TCL,normal,Mo,3,0.00145985401459854
TCL,normal,Gd,50,0.024330900243309004
TCL,normal,Si,26,0.012652068126520682
TCL,normal,H,20,0.009732360097323601
TCL,normal,Al,26,0.012652068126520682
TCL,normal,Fe,209,0.10170316301703163
TCL,normal,Mg,25,0.012165450121654502
TCL,normal,Sr,3,0.00145985401459854
TCL,normal,Li,13,0.006326034063260341
TCL,normal,Ba,1,0.00048661800486618007
TCL,normal,Cd,8,0.0038929440389294406
TCL,normal,O,39,0.01897810218978102
TCL,normal,Pd,28,0.013625304136253041
TCL,normal,Ni,21,0.010218978102189781
TCL,normal,Ge,60,0.029197080291970802
TCL,normal,In,13,0.006326034063260341
TCL,normal,N,12,0.00583941605839416
TCL,normal,Cu,15,0.0072992700729927005
TCL,normal,C,59,0.028710462287104624
TCL,normal,Hg,10,0.004866180048661801
TCL,normal,Ga,34,0.01654501216545012
TCL,normal,La,3,0.00145985401459854
TCL,normal,Tb,4,0.0019464720194647203
TCL,normal,Co,50,0.024330900243309004
TCL,normal,V,1,0.00048661800486618007
TCL,normal,As,18,0.008759124087591242
TCL,normal,Ag,3,0.00145985401459854
TCL,normal,Pb,3,0.00145985401459854
TCL,normal,Re,4,0.0019464720194647203
TCL,normal,Zn,14,0.006812652068126521
TCL,normal,Ho,1,0.00048661800486618007
TCL,normal,Rh,25,0.012165450121654502
TCL,normal,S,1,0.00048661800486618007
TCL,normal,Te,1,0.00048661800486618007
TCL,normal,Ca,19,0.009245742092457421
TCL,normal,P,29,0.014111922141119221
TCL,normal,Br,3,0.00145985401459854
TCL,normal,Dy,2,0.0009732360097323601
TCL,normal,Au,11,0.00535279805352798
TCL,normal,Tl,8,0.0038929440389294406
TCL,normal,Y,5,0.0024330900243309003
TCL,normal,Ta,1,0.00048661800486618007
TCL,normal,Cs,2,0.0009732360097323601
TCL,normal,Sb,3,0.00145985401459854
TCL,normal,B,4,0.0019464720194647203
TCL,normal,Ru,2,0.0009732360097323601
TCL,normal,Cr,1,0.00048661800486618007
TCL,normal,Os,1,0.00048661800486618007
TCL,normal,F,3,0.00145985401459854
TCL,normal,Lu,1,0.00048661800486618007
TCL,normal,Zr,1,0.00048661800486618007
TCL,normal,Pr,2,0.0009732360097323601
TCL,normal,Cl,4,0.0019464720194647203
