method,seed,num_atoms,formula,elements,num_elements,min_distance,nearest_neighbor_p05,nearest_neighbor_median,nearest_neighbor_mean,pairs_lt_1A,pairs_lt_1p5A,pairs_lt_2A,mean_neighbors_lt_3A,relaxed_min_distance,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_length_min,cell_length_max,cell_length_aspect_ratio,cell_volume,cell_volume_per_atom,cell_determinant,cell_condition_number,relaxation_volume_change_fraction,initial_atomic_force_mean,initial_max_force,e_hull,stable,nus,novel,unique,rmsd,atomic_force_mean,relaxation_steps,severe
C0,83010,8,Co2Fe6,Co;Fe,2,2.460740373454304,2.460740373454304,2.467446591493818,2.468434311230499,0,0,0,6.0,2.4540675426084704,2.8781932826470844,5.738094666966076,5.72847843170166,89.85281194278664,89.94999186152303,89.98862340963115,2.8781932826470844,5.738094666966076,1.9936446595027595,94.60745060321244,11.825931325401555,94.60745060321244,1.9950293408079056,-0.0170815086152585,0.047216638038436926,0.06471178074582865,0.030035261477051378,True,False,False,True,0.002064506047603929,0.047216638038436926,15,False
C0,83011,12,Eu8Mg4,Eu;Mg,2,3.5001290975626516,3.5001290975626516,3.506362498272029,3.5343167043888126,0,0,0,0.0,3.4652322938203493,5.784829687663802,7.382304566717309,10.68652629852295,89.83812702733097,90.00898420345757,89.91918770889247,5.784829687663802,10.68652629852295,1.8473363738455528,456.3698277920405,38.03081898267004,456.3698277920405,1.8473479098671988,-0.04885595426958993,0.07177225323649682,0.11784731766136852,0.052009971722005055,True,True,True,True,0.1278716051818342,0.07177225323649682,54,False
C0,83012,5,Eu3PSr,Eu;P;Sr,3,3.017943445088814,3.017943445088814,3.0189446210070057,3.26946420883107,0,0,0,0.0,2.9365938982248267,6.047236976859464,6.048048985724789,6.046574115753174,90.00370446703218,90.00789820308195,90.00870416516389,6.046574115753174,6.048048985724789,1.0002439182822176,221.14730870297436,44.22946174059487,221.14730870297436,1.0003254454508421,-0.07957962411240221,0.008804450400474426,0.014577692459305762,0.05117350907812401,True,False,False,True,0.002858604234052394,0.008804450400474426,6,False
C0,83013,6,Eu2Pd4,Eu;Pd,2,2.645303369154743,2.645303369154743,2.64999637124529,2.8149812906722236,0,0,0,2.0,2.673313492770435,4.489022733876795,5.850112678142591,5.858296871185303,77.50331732352059,67.49921252804418,67.4875672856562,4.489022733876795,5.858296871185303,1.3050272227349535,130.86303922888115,21.810506538146857,130.86303922888115,1.930994993261036,0.005351633367773551,0.09334504566547515,0.12614036077997953,0.13695032215006453,False,False,True,True,0.013570707949672304,0.09334504566547515,24,False
C0,83014,9,Eu2MnO6,Eu;Mn;O,3,1.435032053860085,1.435032053860085,1.8726396433226111,1.974225916347506,0,1,5,4.444444444444445,1.4516727401049767,3.6536903937636316,3.766455263612985,9.035789489746094,96.1228981700747,83.80299247014509,67.67871920974412,3.6536903937636316,9.035789489746094,2.4730583371730117,112.87251042806463,12.541390047562736,112.87251042806463,3.167431870787535,0.05795697209916616,0.3773843439243032,1.1847912823847055,0.47795373836371446,False,False,True,True,0.17680046035585473,0.3773843439243032,97,True
C0,83015,14,Cr2Fe2Li2O8,Cr;Fe;Li;O,4,1.9040053630798168,1.9040053630798168,1.948926877422786,1.9768798809350414,0,0,10,9.857142857142858,1.9017458078997558,5.89114619704144,5.995272242652989,5.892789363861084,90.60553978741498,119.482098662927,118.94815432832333,5.89114619704144,5.995272242652989,1.0176750062091213,149.8470347468954,10.703359624778242,149.8470347468954,2.3531893464833975,-0.0020088471383462336,0.1144198367078358,0.26334164586025094,0.14220053610708305,False,False,True,True,0.020299219226335527,0.1144198367078358,39,False
C0,83016,9,BMnNi6Pd,B;Mn;Ni;Pd,4,1.8937498720348471,1.8937498720348471,1.925475296551141,2.0665808694961756,0,0,5,7.555555555555555,1.8952643330584962,4.5407420217040935,5.282788950897236,5.285810947418213,121.02940720468114,90.40696568921771,106.33640569960212,4.5407420217040935,5.285810947418213,1.164085279928434,102.46531462414389,11.38503495823821,102.46531462414389,1.9948168755020117,-0.00590037125007584,0.19577246488021913,0.33092857617233046,0.1462600716511142,False,False,True,True,0.035638022605314006,0.19577246488021913,31,False
C0,83017,12,Eu4O6Sr2,Eu;O;Sr,3,2.517364477973617,2.517364477973617,2.5230789106367335,2.5337807531970067,0,0,0,6.0,2.5271162264154263,6.259917751895232,6.259030002317198,6.278337001800537,60.15031183587456,80.55368670116862,70.82122646448033,6.259030002317198,6.278337001800537,1.0030846631948067,201.51515456649298,16.79292954720775,201.51515456649298,1.891193849804871,0.0038653725901894626,0.03590898416413836,0.05969296622173252,0.015833871383463816,True,True,True,True,0.0027246009356099283,0.03590898416413836,12,False
C0,83018,8,CEu2F2O3,C;Eu;F;O,4,1.186966609519794,1.186966609519794,2.2554882481831973,1.908568679022697,0,2,2,3.5,1.2127695753054082,3.969187831026857,3.9485900668837792,9.127558708190918,85.7948735304084,90.43345312254371,120.45518215867942,3.9485900668837792,9.127558708190918,2.311599470591378,122.91087623347907,15.363859529184884,122.91087623347907,3.293431660104931,0.07759879756463606,0.79085647507038,1.7480545718202585,0.2813427024902264,False,False,True,True,0.407053805800564,0.79085647507038,337,True
C0,83019,4,Eu2Mg2,Eu;Mg,2,3.5057688505695817,3.5057688505695817,3.5072745936066747,3.5072745936066747,0,0,0,0.0,3.4636135388809817,3.752123836424485,6.092854965948499,5.833567142486572,90.28400858751014,89.99744801357396,89.98916982434898,3.752123836424485,6.092854965948499,1.623841651173904,133.36039126787006,33.340097816967514,133.36039126787006,1.6240605303753954,-0.022164184248416256,0.07325823626855796,0.13932773531251988,0.009876037908934876,True,False,False,True,0.24645485553813085,0.07325823626855796,33,False
C0,83020,5,Fe2Mn3,Fe;Mn,2,2.4779553747226544,2.4779553747226544,2.483378774793608,2.4853035236838545,0,0,0,2.0,2.4719116263870324,2.4898081284732823,2.4915870860991274,10.283576965332031,83.01078568518084,83.00164056437946,60.04147770517315,2.4898081284732823,10.283576965332031,4.130268853944896,54.721850749579986,10.944370149915997,54.721850749579986,5.840890571748292,-0.00798598652010926,0.03567697181528571,0.060405400218150204,0.0965206072394249,True,False,False,True,0.0026296454827923607,0.03567697181528571,2,False
C0,83021,16,Co6Fe6Si4,Co;Fe;Si,3,2.3894981079268733,2.3894981079268733,2.41080416402537,2.411210536902441,0,0,0,6.0,2.3689575467372657,3.977239914907526,3.977618858533086,13.233194351196289,81.28701671373884,81.30542534911017,59.96639791113105,3.977239914907526,13.233194351196289,3.3272306006976122,178.4522345739099,11.153264660869368,178.4522345739099,4.71877275864732,-0.008571459106641257,0.08962396752537846,0.328090667485809,0.08843958632080096,True,False,False,True,0.01831758535890755,0.08962396752537846,58,False
C0,83022,3,AlEu2,Al;Eu,2,3.291067580785691,3.291067580785691,3.291067580785691,3.2924219743249776,0,0,0,0.0,3.287518791514065,3.8723492911333466,3.8725577168571474,7.171023845672607,105.52133305054844,105.61943586654155,90.07770231173033,3.8723492911333466,7.171023845672607,1.8518535665396587,99.47514075397712,33.1583802513257,99.47514075397712,2.1134307489546913,-0.033579543292639624,0.027442853311839672,0.04073538730828025,0.0705991557747403,True,True,True,True,0.025957912190937057,0.027442853311839672,19,False
C0,83023,12,Mn3Pd5Pt4,Mn;Pd;Pt,3,2.7242030046709,2.7242030046709,2.732751032225547,2.734979422008525,0,0,0,8.0,2.718824111822484,3.8319268799936923,6.275563203045433,8.442049980163574,73.3409113849704,76.8944480846174,72.22009725581864,3.8319268799936923,8.442049980163574,2.2030822206548657,183.03100164753874,15.25258347062823,183.03100164753874,2.512655071102112,0.013835769145607494,0.06420711217786704,0.13594461710559524,0.06002709828125585,True,True,True,True,0.012887182362126184,0.06420711217786704,45,False
C0,83024,8,HBCo4Fe2,B;Co;Fe;H,4,1.6649177923149896,1.6649177923149896,2.054029700814684,2.0214967172668605,0,0,2,3.75,1.6371380354757192,2.774276470458389,2.7887439356686357,10.03158950805664,90.021770319128,97.90814612146518,89.95740261391066,2.774276470458389,10.03158950805664,3.6159299964790956,76.87374688659459,9.609218360824324,76.87374688659459,3.6563901132943957,-8.700233045848392e-05,0.14152000720927124,0.2876561643771831,0.1746781127425141,False,False,True,True,0.0426447375475883,0.14152000720927124,24,False
C0,83025,6,Mn4Ni2,Mn;Ni,2,2.3832129738973475,2.3832129738973475,2.391711569646901,2.416717284535021,0,0,0,5.0,2.291635697418045,4.695224690930904,4.6961642688376,4.701371669769287,95.01769135571215,115.35739940237667,118.96338463931976,4.695224690930904,4.701371669769287,1.0013091980135171,76.04694743257583,12.67449123876264,76.04694743257583,2.2801144378694036,-0.022921425007597696,0.32365579274496964,0.6056163540361281,0.23449701187804806,False,False,True,True,0.23160904067914806,0.32365579274496964,48,False
C0,83026,6,CaFe5,Ca;Fe,2,2.454073740488272,2.454073740488272,2.45462048765265,2.535238141443766,0,0,0,4.0,2.4665206999987395,3.933391119624521,5.0919385817453895,5.093956470489502,119.99709377642363,89.99348650424936,90.00210620274184,3.933391119624521,5.093956470489502,1.2950546527332802,88.35860799764167,14.726434666273612,88.35860799764167,1.7319496735785276,0.011488230324795174,0.013792594789314763,0.02188600363282662,0.1684660017399091,False,False,True,True,0.001100282218021719,0.013792594789314763,3,False
C0,83027,4,Fe3Ni,Fe;Ni,2,2.508923164509963,2.508923164509963,2.511215982538374,2.511215982538374,0,0,0,3.0,2.521048088524559,2.4945230935132736,4.151681439184936,4.373397350311279,90.02791748705636,90.12063046952714,90.0117299399119,2.4945230935132736,4.373397350311279,1.7531997846337068,45.29283086179636,11.32320771544909,45.29283086179636,1.7532093724326687,0.022716890432540215,0.07069223075498948,0.14078062108002365,0.10294992388183566,False,False,False,True,0.012397943865735827,0.07069223075498948,14,False
C0,83028,10,Eu2O6Ti2,Eu;O;Ti,3,1.9749187186572676,1.9749187186572676,1.9774112631830556,2.094348488334768,0,0,10,6.0,1.9766770156158682,3.9740688809721703,5.510797886803871,5.513333797454834,89.96004589759461,89.99878673079778,90.00687367474428,3.9740688809721703,5.513333797454834,1.387327185961134,120.74358093511199,12.074358093511199,120.74358093511199,1.3875874356380762,0.0021458069116323288,0.03984916582316482,0.0758837680904487,0.018288521400389612,True,False,False,True,0.006290336429477603,0.03984916582316482,29,False
C0,83029,15,Fe8Mn3Si4,Fe;Mn;Si,3,2.3336797438445624,2.3336797438445624,2.34302616968736,2.3524422420833346,0,0,0,11.2,2.3542906819299936,5.523809360631439,5.527177116104146,6.7696051597595215,114.04247954628097,114.19180290912303,90.1692275510513,5.523809360631439,6.7696051597595215,1.2255320047804243,168.55642567047684,11.237095044698457,168.55642567047684,2.0051517719016254,0.012122524691440591,0.21998569812764268,0.5160311265988765,0.07757123978645986,True,True,True,True,0.04840773756472235,0.21998569812764268,59,False
C0,83030,4,Cu2Fe2,Cu;Fe,2,2.605938520385695,2.605938520385695,2.6061291302125094,2.60713563563593,0,0,0,2.0,2.5958198441233997,2.488708591729408,2.4912694019297894,7.760087490081787,89.93265683681537,90.02968650725347,89.92799864850934,2.488708591729408,7.760087490081787,3.1181181741689126,48.11280278785799,12.028200696964497,48.11280278785799,3.119049759602877,-0.010763862072446673,0.041095324058302435,0.06530060485747433,0.11634287524169906,False,False,True,True,0.002535907401152937,0.041095324058302435,6,False
C0,83031,6,Co2EuFe3,Co;Eu;Fe,3,2.451983587798955,2.451983587798955,2.4521670872760652,2.535664365320098,0,0,0,4.0,2.473015516093321,3.9174977077258797,5.115364339220932,5.11726188659668,120.01224703359269,89.98895125855047,90.00167590147376,3.9174977077258797,5.11726188659668,1.3062577870829866,88.79734467519046,14.799557445865076,88.79734467519046,1.7324787933670593,0.026086073606561153,0.004878801002607391,0.007104631263964373,0.19870827743489627,False,False,True,True,0.0012047578402247302,0.004878801002607391,5,False
C0,83032,6,Co4MnY,Co;Mn;Y,3,2.433314908149025,2.433314908149025,2.4358205643858493,2.583480202475754,0,0,0,4.666666666666667,2.43315520987353,4.919887219016857,4.918150084974906,4.915255069732666,59.98175330230425,60.04179976312296,60.079788118020836,4.915255069732666,4.919887219016857,1.0009424026257996,84.16399070987961,14.027331784979935,84.16399070987961,2.0006977507462214,-0.0019256224732143834,0.02172809168181343,0.0311634560782754,0.03317567144229816,True,False,False,True,0.0011750750672954375,0.02172809168181343,2,False
C0,83033,8,Fe6GeSi,Fe;Ge;Si,3,2.2590283074200603,2.2590283074200603,2.260418158772863,2.3324471144752428,0,0,0,6.75,2.2577738259676385,4.5662631709399735,4.562976647469647,4.5651068687438965,90.04225405763177,89.9635156355513,89.98557714580048,4.562976647469647,4.5662631709399735,1.0007202586653932,95.1173873785856,11.8896734223232,95.1173873785856,1.0012276039817638,-0.006812201585043528,0.06986127242982026,0.09571923989779381,0.05071914131591804,True,True,True,True,0.002110518118584996,0.06986127242982026,7,False
C0,83034,12,Fe5Rh7,Fe;Rh,2,2.579655875556536,2.579655875556536,2.602449344408698,2.6137999175241187,0,0,0,9.0,2.6269437104626205,5.408154730730729,5.357014220435621,7.046807765960693,77.65091814271443,67.36577908576173,59.68129331517689,5.357014220435621,7.046807765960693,1.3154357027985752,162.61193991793928,13.550994993161607,162.61193991793928,2.1569026660651227,0.024347908527190786,0.057559488533629834,0.10130785102520586,0.0545738217024736,True,True,True,True,0.018537691604904635,0.057559488533629834,35,False
C0,83035,8,Cl2Eu2O4,Cl;Eu;O,3,1.677637219545859,1.677637219545859,1.9995360164277693,1.9997461283445188,0,0,2,2.5,1.6794415109542198,3.82353658154331,4.402334907543931,9.111791610717773,88.29500265312306,89.85581720224451,89.9751406145857,3.82353658154331,9.111791610717773,2.3830794910401885,153.30572926846037,19.163216158557546,153.30572926846037,2.3834119160816685,-0.009055893051899388,0.388842993405965,0.9378553151042444,0.1399408461032463,False,False,True,True,0.1586216513905732,0.388842993405965,93,False
C0,83036,8,Eu2Fe3N3,Eu;Fe;N,3,1.7522957640449637,1.7522957640449637,1.7882099713474102,1.9810050332302975,0,0,7,4.75,1.7240023425561293,3.887504905101861,5.7626179004208495,6.046634197235107,88.13034738941681,109.51652288233711,97.90137725730038,3.887504905101861,6.046634197235107,1.5554023325603168,126.45026999028346,15.806283748785432,126.45026999028346,1.8038562356042926,-0.029524421686910704,0.3493105281145008,0.7714927761563379,0.1302041433715786,False,False,True,True,0.08182529037856245,0.3493105281145008,64,False
C0,83037,9,Eu5Sn3Sr,Eu;Sn;Sr,3,3.2272674988640087,3.2272674988640087,3.2766759110911705,3.3574077773912183,0,0,0,0.0,3.2754252321185335,5.0042920743829375,8.621296870709699,8.595470428466797,119.9392169134504,90.0091003168193,90.01360824294157,5.0042920743829375,8.621296870709699,1.7227805137198675,321.3521224768002,35.705791386311134,321.3521224768002,2.106168372607627,0.012845955010662356,0.042857946331345015,0.06176198421229681,0.04582985738498291,True,True,True,True,0.007681062228523651,0.042857946331345015,18,False
C0,83038,5,CaEu3O,Ca;Eu;O,3,2.639903329879732,2.639903329879732,2.6421231362367115,2.8602467721507425,0,0,0,1.2,2.639903329879732,5.285134523649403,5.286279156551236,5.290245056152344,89.96640480614147,90.01608077115613,89.99612295703862,5.285134523649403,5.290245056152344,1.000966963561679,147.80251931722844,29.56050386344569,147.80251931722844,1.001131641655621,0.0,0.0028249088655092677,0.004737952420645442,0.19881907321679648,False,False,True,True,0.0020918072771031293,0.0028249088655092677,1,False
C0,83039,16,As4Eu8Ga4,As;Eu;Ga,3,2.5376915132893063,2.5376915132893063,2.9566340628925847,2.8814600685566014,0,0,0,1.25,2.534372440043955,7.97838870794459,9.137113187159455,8.332560539245605,115.22835117993839,109.53083765368208,105.81202922430892,7.97838870794459,9.137113187159455,1.1452328937121163,452.39486953949114,28.274679346218196,452.39486953949114,2.234476100847131,-0.005925035078726363,0.1465419737725216,0.2514883695474928,0.20451868748209634,False,False,True,True,0.11511509755639267,0.1465419737725216,111,False
C0,83040,4,AuGd2Hg,Au;Gd;Hg,3,3.1277513793691893,3.1277513793691893,3.1308179451168554,3.1565280852173343,0,0,0,0.0,3.1527178398726363,3.6674271323260537,3.670233340459566,7.4255452156066895,90.07554440118524,90.07242982811265,90.0973531825452,3.6674271323260537,7.4255452156066895,2.0247287669754086,99.9498539782869,24.987463494571724,99.9498539782869,2.025847924288453,0.018528611333156846,0.020147193211526537,0.03966614078201962,-0.001229114296874556,True,True,True,True,0.001335395038269736,0.020147193211526537,6,False
C0,83041,10,Fe3O6Ti,Fe;O;Ti,3,1.8860791194032231,1.8860791194032231,1.9691267552653426,1.9517556320501162,0,0,9,8.2,1.890009805963944,5.138834413992326,5.15218192937845,5.517948627471924,62.29542320542513,62.602037950672745,60.05847034993604,5.138834413992326,5.517948627471924,1.0737743587237065,107.0129422889922,10.70129422889922,107.0129422889922,2.0219008349005874,0.0012993716813454732,0.11601078580939042,0.2434327985495788,0.06548503395702987,True,False,False,True,0.015028451392715745,0.11601078580939042,31,False
C0,83042,10,H2Eu5Pb3,Eu;H;Pb,3,2.3138527352244274,2.3138527352244274,2.3351607011232574,2.6187576706905094,0,0,0,1.6,2.2799215141534126,7.025360396460685,6.751417309836566,7.106719493865967,94.0601880878091,119.77873350600969,89.85180111394459,6.751417309836566,7.106719493865967,1.0526263105543392,291.62739826009954,29.162739826009954,291.62739826009954,1.7358725293993396,-0.027598762477308574,0.11428517405878555,0.1659988291837861,0.08509066462695358,True,True,True,True,0.11698972502897184,0.11428517405878555,62,False
C0,83043,15,Au2Eu12Ir,Au;Eu;Ir,3,2.837319336304125,2.837319336304125,3.1000756666526375,2.9921754753191623,0,0,0,0.8,2.855625632714775,6.9722268496441115,8.159995098241092,11.005183219909668,71.65565200190025,85.1300916262197,73.5988333745136,6.9722268496441115,11.005183219909668,1.5784316054592247,570.1147588446598,38.00765058964399,570.1147588446598,1.8842927505199372,0.00828097013255893,0.044905660605782466,0.0904193652078613,0.018971590529513804,True,True,True,True,0.07340401752230727,0.044905660605782466,67,False
C0,83044,14,BaCa2Fe3O8,Ba;Ca;Fe;O,4,2.010946519898396,2.010946519898396,2.0838942106674168,2.1175314500293125,0,0,0,6.428571428571429,2.008751005314882,6.451157895585326,6.456191196656608,6.686950206756592,61.17796484507561,61.18469449499238,60.034118900120525,6.451157895585326,6.686950206756592,1.0365503859908038,200.43380993405162,14.316700709575116,200.43380993405162,2.011072944982004,-0.008418005618449638,0.12037091614138186,0.19988790959563466,0.16588995580172394,False,False,True,True,0.007019917801941598,0.12037091614138186,28,False
C0,83045,6,ErFe4Nb,Er;Fe;Nb,3,2.4535800074624214,2.4535800074624214,2.454055330122534,2.598559919390365,0,0,0,4.666666666666667,2.4786719444453666,4.928283368033648,4.927890276607043,4.927868366241455,60.26120829376683,60.22217475583232,60.24970054580773,4.927868366241455,4.928283368033648,1.0000842152755207,85.09351302113086,14.182252170188477,85.09351302113086,1.989613353709358,0.024911171846580392,0.03213269328747286,0.04156859952127086,0.04501794484049526,True,False,False,True,0.00046510583122773725,0.03213269328747286,4,False
C0,83046,4,AuEuPt2,Au;Eu;Pt,3,2.959108256749257,2.959108256749257,2.959302959662315,2.959302959662315,0,0,0,3.0,2.9885211324829197,4.138872623534625,4.234300154853589,4.239274978637695,89.99467495704896,89.99962001386439,90.00343808946701,4.138872623534625,4.239274978637695,1.024258382471632,74.29426429912985,18.573566074782462,74.29426429912985,1.0242603030780586,0.03131823778937877,0.00915961529738729,0.015682648957016158,0.17756731008666993,False,False,True,True,0.0008694776211248386,0.00915961529738729,17,False
C0,83047,12,Fe2Mn2O8,Fe;Mn;O,3,1.91076393203499,1.91076393203499,1.9175829015194406,1.918272381573778,0,0,24,8.333333333333334,1.9216310165200594,4.5183131739162,5.391637119732989,5.407496452331543,113.56002293705878,90.01878552588131,90.00448993943729,4.5183131739162,5.407496452331543,1.1967954066461164,120.75159347311852,10.062632789426543,120.75159347311852,1.527014465075767,0.014011592147588623,0.11265426009810843,0.2594983820997574,0.0889015923600267,True,True,True,True,0.009410758143220291,0.11265426009810843,40,False
C0,83048,6,Fe4LuTb,Fe;Lu;Tb,3,2.5563826478736833,2.5563826478736833,2.556962092918688,2.706429139124532,0,0,0,2.0,2.5473283085567044,5.129174537966589,5.129405441359765,5.129513263702393,59.97526318668121,59.9864452115116,59.97240670524502,5.129174537966589,5.129513263702393,1.000066039034799,95.38043983287828,15.89673997214638,95.38043983287828,2.0012578526400295,-0.011576985373526317,0.007598944104242119,0.011557940332550606,0.005925286010741715,True,False,False,True,0.0005451348204195672,0.007598944104242119,4,False
C0,83049,12,CB4Eu4Ni3,B;C;Eu;Ni,4,1.6587626407171054,1.6587626407171054,2.061997915265504,2.1715100266593272,0,0,4,5.666666666666667,1.557910164491055,4.200572461877796,6.102588672045692,6.854541301727295,89.6572158249099,90.02646265768404,89.971588916467,4.200572461877796,6.854541301727295,1.6318112266686353,175.70863476693572,14.642386230577976,175.70863476693572,1.6319235402979297,0.011375745045888458,0.3730110579223565,1.0462290679184627,0.21478903941026672,False,False,True,True,0.06326487223940283,0.3730110579223565,39,True
C0,83050,3,IrMnP,Ir;Mn;P,3,2.4362593238596477,2.4362593238596477,2.4362593238596477,2.4373251530596494,0,0,0,2.0,2.462798849628138,3.983005971326281,3.981314801678415,3.9830052852630615,60.088795639296706,60.076009195196185,60.052334270917406,3.981314801678415,3.983005971326281,1.0004247766710517,44.73475372211948,14.911584574039827,44.73475372211948,1.9974674217632753,0.0292621785125002,0.027960197476027914,0.041676921293177356,0.18317059972167904,False,False,True,True,0.0007616422261269177,0.027960197476027914,4,False
C0,83051,20,Fe5GaGd3O11,Fe;Ga;Gd;O,4,1.849755263867151,1.849755263867151,2.0409028343374533,2.033989549295689,0,0,5,6.3,1.8416419489459253,6.504384938842263,6.058029998849478,8.526336669921875,113.11021839660914,107.58782116247004,93.80825620092553,6.058029998849478,8.526336669921875,1.4074437847850159,287.9305679532854,14.39652839766427,287.9305679532854,1.9655528939941456,-0.022561738526428194,0.25228369502744485,0.4658102209778769,0.17128104134375022,False,False,True,True,0.06344164947786232,0.25228369502744485,159,False
