seed,num_atoms,c0_formula,ft0_formula,tcl_formula,tcl_exact_composition_as_c0,ft0_exact_composition_as_c0,tcl_c0_composition_fraction_l1,ft0_c0_composition_fraction_l1,tcl_c0_element_set_jaccard,ft0_c0_element_set_jaccard,tcl_severe,c0_severe
83023,12,Mn3Pd5Pt4,C4Mn8,CAl2Mn9,False,False,1.4999999999999998,1.5,0.2,0.25,True,False
83024,8,HBCo4Fe2,C3Mn5,Eu6Sn2,False,False,2.0,2.0,0.0,0.0,False,False
83025,6,Mn4Ni2,C2Mn4,C2Mn4,False,False,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,False,False
83026,6,CaFe5,C3Mn3,Fe5Ge,False,False,0.3333333333333333,2.0,0.3333333333333333,0.0,False,False
83027,4,Fe3Ni,Eu2PSe,Eu3Ni,False,False,1.5,2.0,0.3333333333333333,0.0,False,False
83028,10,Eu2O6Ti2,H2Mn8,Eu4Hg2Pt4,False,False,1.6,2.0000000000000004,0.2,0.0,False,False
83029,15,Fe8Mn3Si4,C4Mn11,Ga2Mn11Pt2,False,False,1.5999999999999996,1.5999999999999996,0.2,0.25,False,False
83030,4,Cu2Fe2,Mn2Pt2,Eu2LaTb,False,False,2.0,2.0,0.0,0.0,False,False
83031,6,Co2EuFe3,As2Mn4,Co4Pt2,False,False,1.3333333333333333,1.9999999999999998,0.25,0.0,False,False
83032,6,Co4MnY,Mn6,Gd2Ge2Ni2,False,False,1.9999999999999998,1.6666666666666665,0.0,0.3333333333333333,False,False
83033,8,Fe6GeSi,Mn5Si3,Fe3Mn5,False,False,1.25,1.75,0.25,0.25,False,False
83034,12,Fe5Rh7,C4Mn8,Fe7Ge2Si2V,False,False,1.1666666666666667,2.0,0.2,0.0,False,False
83035,8,Cl2Eu2O4,C3FeMn4,Eu6Sn2,False,False,1.5,2.0,0.25,0.0,False,False
83036,8,Eu2Fe3N3,Co2FeMn5,Co5Eu3,False,False,1.5,1.75,0.25,0.2,False,False
83037,9,Eu5Sn3Sr,Mn7N2,HFe2Mn6,False,False,2.0,2.0,0.0,0.0,False,False
83038,5,CaEu3O,As2EuMn2,Al2Eu3,False,False,0.8,1.5999999999999999,0.25,0.2,False,False
83039,16,As4Eu8Ga4,C6Fe2Mn8,As2Ga5Gd9,False,False,1.25,2.0,0.5,0.0,False,False
83040,4,AuGd2Hg,Au2MnPt,Fe3Mn,False,False,2.0,1.5,0.0,0.2,False,False
83041,10,Fe3O6Ti,C2As2Mn6,AgMn4PdSn4,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83042,10,H2Eu5Pb3,C3Mn7,Eu5Pb2Pd3,False,False,0.6,2.0,0.5,0.0,False,False
83043,15,Au2Eu12Ir,C4Mn11,C8Eu7,False,False,1.0666666666666667,1.9999999999999998,0.25,0.0,True,False
83044,14,BaCa2Fe3O8,C4Mn10,Fe12Re2,False,False,1.5714285714285712,2.0,0.2,0.0,False,False
83045,6,ErFe4Nb,AsMn5,Eu4Ge2,False,False,2.0,2.0,0.0,0.0,False,False
83046,4,AuEuPt2,EuPt3,Fe2IrPt,False,False,1.5,0.5,0.2,0.6666666666666666,False,False
83047,12,Fe2Mn2O8,C3Mn8N,Eu4Mg4Pd4,False,False,1.9999999999999998,1.6666666666666665,0.0,0.2,False,False
83048,6,Fe4LuTb,EuMn5,EuFe3Ge2,False,False,0.9999999999999999,2.0,0.2,0.0,False,False
83049,12,CB4Eu4Ni3,C2Mn9Ta,CInIrMn8Zn,False,False,1.8333333333333333,1.833333333333333,0.125,0.16666666666666666,True,True
83050,3,IrMnP,AuEuSb,IrPt2,False,False,1.3333333333333333,1.9999999999999998,0.25,0.0,False,False
83051,20,Fe5GaGd3O11,C6Mn14,Fe2Mn18,False,False,1.8,2.0,0.2,0.0,False,False
83052,3,Eu2Ga,AsEuPt,EuGaZn,False,False,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.25,False,False
83053,8,Eu4Ga2N2,As3Mn5,Eu6Pd2,False,False,1.0,2.0,0.25,0.0,False,False
83054,3,EuNiP,Eu2Ga,Eu2Ni,False,False,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.25,False,False
83055,4,Co3Mn,Eu2KPt,LiSiTb2,False,False,2.0,2.0,0.0,0.0,False,False
83056,3,HEuI,HoMn2,Eu2Ho,False,False,1.3333333333333333,1.9999999999999998,0.25,0.0,False,False
83057,20,GdLiMn6O12,C4Mn16,Co2Fe16Rh2,False,False,2.0,1.4000000000000001,0.0,0.2,False,True
83058,8,Eu4FN3,C2Mn6,Eu4Si2Zn2,False,False,1.0,2.0,0.2,0.0,False,False
83059,4,Fe2Pt2,Au2EuPt,HFe2Pt,False,False,0.5,1.5,0.6666666666666666,0.25,False,False
83060,6,Co5W,AsMn5,Eu4Pd2,False,False,2.0,2.0,0.0,0.0,False,False
83061,16,F2Fe7O7,C3As3Mn10,C6Mn9S,False,False,2.0,2.0,0.0,0.0,False,False
83062,9,Fe4Mn5,C3Mn6,C3Mn6,False,False,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,False
83063,9,Al3Eu3Sn3,C3Mn6,Eu6Pt3,False,False,1.3333333333333333,1.9999999999999998,0.25,0.0,False,False
83064,10,Eu6Ni4,Mn10,CaGd4Hg3PTe,False,False,2.0,2.0,0.0,0.0,False,False
83065,8,Co5Fe2Rh,C2Mn6,FeMn7,False,False,1.75,2.0,0.25,0.0,False,False
83066,12,Ca2Eu6Sb4,As4Mn8,Eu8Ge3Pd,False,False,1.0,1.9999999999999998,0.2,0.0,False,False
83067,10,Eu6Li2O2,Mn10,Eu6Mg2O2,False,False,0.4,2.0,0.5,0.0,False,False
83068,19,Co17V2,C6CoMn12,Co11Dy2Gd3Sn3,False,False,0.8421052631578947,1.8947368421052633,0.2,0.25,True,False
83069,15,Eu3Ge7Mn5,C5Mn10,Eu4Ge5Mn6,False,False,0.2666666666666667,1.3333333333333333,1.0,0.25,True,False
83070,8,Eu2LiNiO4,Mn5O3,BrEu3O4,False,False,0.5,1.25,0.4,0.2,False,False
83071,4,DyEu2K,AuEu3,Dy2Eu2,False,False,0.5,1.0,0.6666666666666666,0.25,False,False
83072,5,Eu2In2Sr,EuMn2P2,CEuMn3,False,False,1.6,1.5999999999999999,0.2,0.2,False,False
83073,12,AlFe8Nb3,C4Mn8,HFe8P3,False,False,0.6666666666666666,2.0,0.2,0.0,False,False
83074,13,Fe9Nd2Ti2,C5Mn8,Eu6Li3P4,False,False,2.0,2.0,0.0,0.0,False,False
83075,12,Eu4Ni4Pt4,C4Mn8,C2HFeMn8,False,False,1.9999999999999998,1.9999999999999998,0.0,0.0,True,False
83076,12,Eu8Mg4,C4Fe2Mn6,Fe3Mn9,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83077,14,HFe3GaMn2O7,C3Mn11,EuFe2Mn3O8,False,False,0.4285714285714285,1.714285714285714,0.5,0.16666666666666666,True,False
83078,6,Au2Eu2Pt2,AsMn5,AuEu3Zn2,False,False,0.9999999999999999,2.0,0.5,0.0,False,False
83079,4,EuSrTl2,Eu2GeHg,Eu2GeHg,False,False,1.5,1.5,0.2,0.2,False,False
83080,12,As4Eu4Li4,C4Mn8,Eu5Ge3Ir4,False,False,1.3333333333333333,1.9999999999999998,0.2,0.0,False,False
83081,19,CdCo17Zr,C6Mn13,C6Mn13,False,False,2.0,2.0,0.0,0.0,False,False
83082,8,AlFe6Re,C2Mn6,FeGeMn5Si,False,False,1.75,2.0,0.16666666666666666,0.0,False,False
83083,11,Eu2O7Si2,C4Mn7,As3EuMn7,False,False,1.818181818181818,2.0,0.2,0.0,False,False
83084,13,C3Al2Fe8,C6FeMn6,Gd4Pt7Si2,False,False,2.0,1.3846153846153848,0.0,0.5,False,False
83085,12,AsEu7N4,C4Fe2Mn6,Eu8Ir4,False,False,0.8333333333333333,2.0,0.25,0.0,False,False
83086,20,B4BeFe10MnW4,C6Fe3IrMn10,H6Cu2Mn5Pd7,False,False,1.9000000000000001,1.6,0.125,0.2857142857142857,False,False
83087,18,F10Mn6O2,C5Mn13,C6Mn12,False,False,1.3333333333333333,1.3333333333333335,0.25,0.25,False,False
83088,12,Fe6Rh6,C4Mn8,Ca8N2Rh2,False,False,1.6666666666666667,1.9999999999999998,0.25,0.0,False,False
83089,15,Co7Ni8,C5Mn10,Mn15,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83090,4,Gd3Pb,Gd2LiPb,HFe2N,False,False,2.0,0.5,0.0,0.6666666666666666,True,False
83091,12,Eu2GeNi8P,C4Mn8,Eu5Ga3Ir4,False,False,1.6666666666666667,1.9999999999999998,0.16666666666666666,0.0,False,False
83092,6,AlFe4Re,FeMn5,Eu2In2Ni2,False,False,2.0,1.6666666666666667,0.0,0.25,False,False
83093,18,F8Fe4Li3O3,C6Mn12,C5Mn12Tl,False,False,2.0,2.0,0.0,0.0,False,False
83094,19,Fe3Gd2Ni2O11Tb,C5Au2Mn12,C4Mn15,False,False,2.0,1.9999999999999996,0.0,0.0,True,False
83095,4,BrEu2Si,Eu2MgSi,Eu2MgSi,False,False,0.5,0.5,0.5,0.5,False,False
83096,10,Co4Fe4Y2,CoMn9,Fe8TbY,False,False,1.0,1.8000000000000003,0.5,0.25,False,False
83097,10,Eu2Mn4N4,As3Mn7,CGa2Mn7,False,False,1.2,1.2,0.2,0.25,False,False
83098,10,Eu6O4,Mn10,Eu4Ge4Pt2,False,False,1.2000000000000002,2.0,0.25,0.0,False,False
83099,10,CrGdO7Re,HAsMn7P,Au3Eu4Gd3,False,False,1.7999999999999998,2.0,0.16666666666666666,0.0,False,True
83100,10,H7Fe3,Mn7N2Pt,Eu4Pt4Sn2,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83101,9,CaFe2GdO5,C3Mn6,Gd3Ge3Pt3,False,False,1.7777777777777777,2.0,0.16666666666666666,0.0,False,False
83102,5,HCoFe2Zn,As3EuFe,Eu2Fe3,False,False,1.2,1.6,0.2,0.16666666666666666,False,False
83103,6,Fe4HfRh,Mn6,Fe5Ta,False,False,0.6666666666666667,2.0,0.25,0.0,False,False
83104,10,F6Fe2Li2,Mn8P2,C2Al2Mn6,False,False,1.9999999999999998,1.9999999999999998,0.0,0.0,True,False
83105,10,Eu2O6Sr2,Mn9Ti,Cs2Eu5Sb3,False,False,1.5999999999999999,2.0000000000000004,0.2,0.0,False,False
83106,6,AlFe4Mn,C2Mn4,Eu4I2,False,False,2.0,1.6666666666666665,0.0,0.25,False,False
83107,4,CdEu2Nd,As2EuPt,CdEu3,False,False,0.5,1.5,0.6666666666666666,0.2,False,False
83108,9,AgEu5OSb2,Mn8Os,Ag2Eu4Si3,False,False,0.8888888888888891,2.0,0.4,0.0,False,False
83109,18,Eu4Nd2O11W,C3Mn15,EuMn8NdO7Sr,False,False,1.0,2.0,0.5,0.0,True,False
83110,18,H2Co4Fe12,C4Mn12P2,Fe2Mn16,False,False,1.777777777777778,2.0,0.25,0.0,True,False
83111,4,ClEu2N,AsEu2Li,CuEu3,False,False,1.0,1.0,0.25,0.2,False,False
83112,9,Co2Fe5Ni2,As3Mn6,Fe6Ge3,False,False,0.8888888888888888,2.0,0.25,0.0,False,False
83113,15,BaCeFeGdMn2O9,C4Mn11,Al2Mn13,False,False,1.7333333333333332,1.7333333333333332,0.14285714285714285,0.14285714285714285,False,False
83114,6,Fe5Zn,C2Mn4,Fe4P2,False,False,0.6666666666666667,1.9999999999999998,0.3333333333333333,0.0,False,False
83115,10,BaEuGd2O6,As4Mn6,CuMn2Ni2O5,False,False,1.0,2.0,0.14285714285714285,0.0,False,False
83116,5,Br3EuK,Eu2GePd2,Br2Eu2P,False,False,0.8,1.6,0.5,0.2,False,False
83117,20,H12Li2Mn6,C7Mn13,B4Ge2Mn14,False,False,1.4,1.4,0.2,0.25,False,False
83118,11,Eu3O6Zn2,C3Mn8,C2Al2Mn7,False,False,2.0,2.0,0.0,0.0,True,False
83119,5,AsEu3N,As2Eu2Fe,CoEu4,False,False,0.8,0.8,0.25,0.5,False,False
83120,3,CuGdPb,CuGdIn,Gd3,False,False,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,False,False
83121,11,Eu3Mg2Ni2Sb4,C4Mn7,Eu4Pt4Tl3,False,False,1.4545454545454546,2.0,0.16666666666666666,0.0,False,False
83122,10,Eu3FeO6,C2Mn6N2,Al6Eu4,False,False,1.4,1.9999999999999998,0.25,0.0,False,False
83123,6,H2Eu3N,Mn2Pt4,CaEu5,False,False,0.9999999999999999,1.9999999999999998,0.25,0.0,False,False
83124,12,Eu4F8,C4Mn8,As4Eu8,False,False,1.3333333333333333,2.0,0.3333333333333333,0.0,False,False
83125,5,H3EuFe,EuMnPt3,Eu2Ga3,False,False,1.5999999999999999,1.5999999999999999,0.25,0.2,False,False
83126,4,Fe3Sn,Fe2Pt2,Eu3Y,False,False,2.0,1.0,0.0,0.3333333333333333,False,False
83127,18,F5Mn7O6,C4FeMn13,C5FeMn12,False,False,1.2222222222222223,1.2222222222222223,0.2,0.2,True,False
83128,8,Ca3EuO4,AsMn4P3,Ca3EuO4,True,False,0.0,2.0,1.0,0.0,False,False
83129,18,F9Fe4O4Zn,C5Mn11PtW,C4Fe5Mn9,False,False,1.5555555555555556,2.0,0.16666666666666666,0.0,True,True
83130,13,Mn9N4,C4Mn9,Mn13,False,False,0.6153846153846154,0.6153846153846154,0.5,0.3333333333333333,True,False
83131,6,Fe5Pt,AsMn5,Fe3Mn3,False,False,1.0,2.0,0.3333333333333333,0.0,False,False
83132,4,Fe2NiRh,Au2MnPt,Eu4,False,False,2.0,2.0,0.0,0.0,False,False
83133,6,Co4NiRu,C2Mn4,Eu4Li2,False,False,2.0,2.0,0.0,0.0,False,False
83134,14,Li4Mn3O7,As3Mn11,H2FeMn11,False,False,1.5714285714285714,1.5714285714285712,0.2,0.25,False,False
83135,12,Co4Fe4Nb2V2,C4Mn8,Mn6O6,False,False,2.0,1.9999999999999998,0.0,0.0,True,False
83136,8,H2Al2Eu2Ge2,C2Mn6,Eu3Ge2Pt3,False,False,1.0,2.0,0.4,0.0,False,False
83137,16,AlFe8Mn3Si4,C4Mn12,Co9Mn7,False,False,1.625,1.625,0.2,0.2,False,False
83138,20,CrGdLi3Ni2O11V2,C7Mn13,CFe4Mn15,False,False,2.0000000000000004,2.0000000000000004,0.0,0.0,True,False
83139,4,AuEu3,AuEu2P,AuEu2Sr,False,False,0.5,0.5,0.6666666666666666,0.6666666666666666,False,False
83140,8,C4Eu2Ni2,As4Mn4,Fe6Ru2,False,False,2.0,2.0,0.0,0.0,False,True
83141,15,Eu13Li2,C6Mn9,Eu14Ni,False,False,0.2666666666666666,2.0,0.3333333333333333,0.0,False,False
83142,4,CrMnNiRh,C2MnMo,CrMn2Ni,False,False,0.5,1.5,0.75,0.16666666666666666,False,False
83143,5,CaEu3Rh,CAuMn3,Eu2PtRh2,False,False,0.8,1.9999999999999998,0.5,0.0,False,False
83144,8,Fe6Si2,AsMn7,Ge2Mn6,False,False,2.0,2.0,0.0,0.0,False,False
83145,10,Eu6N4,C4Mn6,Eu4Gd2Ge4,False,False,1.2000000000000002,2.0,0.25,0.0,False,False
83146,6,AlFe5,FeMn5,As2Eu4,False,False,2.0,1.6666666666666667,0.0,0.3333333333333333,False,False
83147,6,Gd2Ge2Ni2,Mn5Ni,Gd2Ge3Ni,False,False,0.33333333333333337,1.6666666666666667,1.0,0.25,False,False
83148,20,Eu7F3O10,C6Mn14,Eu4In2Mn2O12,False,False,0.6,1.9999999999999998,0.4,0.0,False,False
83149,12,GdNi10Pb,C5Mn7,Mn10Re2,False,False,2.0,2.0,0.0,0.0,False,False
83150,12,Fe9Sm3,C4Mn8,GeMn7N4,False,False,2.0,1.9999999999999998,0.0,0.0,True,False
83151,4,Fe3Ge,Eu2NiPt,Eu3Ni,False,False,2.0,2.0,0.0,0.0,False,False
83152,12,Cu4Eu4Ni4,C4Mn8,Al4Cu4Eu4,False,False,0.6666666666666666,1.9999999999999998,0.5,0.0,False,False
83153,12,H4Fe3Ni5,C4Mn8,Eu4Ga4Pt4,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83154,11,Eu3NO7,C4Mn7,Eu6Mg2Pt3,False,False,1.4545454545454546,2.0,0.2,0.0,False,False
83155,12,Co3Eu5P4,C4FeMn7,Eu4Pt4Tl4,False,False,1.3333333333333333,1.9999999999999998,0.2,0.0,False,False
83156,10,Eu4Lu2O4,HAs3Mn6,As2Mn6N2,False,False,2.0,2.0,0.0,0.0,False,True
83157,12,Eu4FO7,C6Mn6,Eu4Ga4Ir4,False,False,1.3333333333333335,2.0,0.2,0.0,False,False
83158,4,CdEu2Zn,Cu2EuSn,CuEu2Pt,False,False,1.0,1.5,0.2,0.2,False,False
83159,10,Cu2Mn2O6,C4Mn6,La2Mn2Rh6,False,False,1.5999999999999999,1.5999999999999999,0.2,0.25,False,False
83160,4,Eu2Ga2,CoMn2Pt,Eu2GePt,False,False,1.0,2.0,0.25,0.0,False,False
83161,6,Fe5Ga,Ga2Mn4,Mn5Os,False,False,2.0,1.6666666666666665,0.0,0.3333333333333333,False,False
83162,5,CHMn3,Au2Mn3,Au3Mn2,False,False,1.2,0.8,0.25,0.25,False,False
83163,14,Fe2GaMn2O9,C3Mn10Re,Ga4Gd5Rh5,False,False,1.8571428571428572,1.7142857142857142,0.16666666666666666,0.16666666666666666,False,True
83164,14,H2Eu8Si4,C5Mn9,Eu10Ir4,False,False,0.8571428571428572,2.0,0.25,0.0,False,False
83165,15,Eu6O4S5,C4Mn11,C4Mn11,False,False,2.0,2.0,0.0,0.0,False,False
83166,11,F6Gd3O2,C5Mn6,C3Mn8,False,False,2.0,2.0,0.0,0.0,False,True
83167,10,EuFe3O6,As2Mn8,Co6Fe4,False,False,1.4,2.0,0.25,0.0,False,False
83168,4,Eu2GaPb,CGaMn2,Eu2GaPd,False,False,0.5,1.5,0.5,0.2,False,False
83169,9,CdEu5Pt3,As3Mn6,Eu3Pt3Sn3,False,False,0.6666666666666667,1.9999999999999998,0.5,0.0,False,False
83170,4,Eu3Nd,Eu2GeHg,Eu2PtZn,False,False,1.0,1.0,0.25,0.25,False,False
83171,12,F3Li2MnNi3O3,As4Mn8,CoMn11,False,False,1.8333333333333333,1.8333333333333333,0.16666666666666666,0.16666666666666666,False,True
83172,8,HFe5Rh2,C2Mn6,Eu6Rh2,False,False,1.5,2.0,0.25,0.0,False,False
83173,8,N2O6,C3Mn5,Eu4Pt4,False,False,2.0,2.0,0.0,0.0,False,False
83174,16,Co4Mn6Zn6,C4Mn12,Co2Mn14,False,False,1.0,1.25,0.6666666666666666,0.25,False,False
83175,11,Eu5Ge4Mg2,As4Mn7,Eu3Pt4Si4,False,False,1.4545454545454546,2.0,0.2,0.0,False,False
83176,11,Eu2Nb2O7,C3Mn8,Gd3Pt3Si5,False,False,1.9999999999999998,2.0,0.0,0.0,True,False
83177,5,HFe2IrNi,As2EuFe2,As2EuFe2,False,False,1.2,1.2,0.16666666666666666,0.16666666666666666,False,False
83178,6,Fe5Pt,C2Mn4,Eu4Rh2,False,False,1.9999999999999998,1.9999999999999998,0.0,0.0,False,False
83179,5,EuMn2P2,As2EuMn2,HFe3In,False,False,2.0,0.8,0.0,0.5,False,False
83180,12,Co6Ge2Mn2N2,CMn9Pt2,Ge2Mn8N2,False,False,1.0,1.6666666666666667,0.75,0.16666666666666666,True,False
83181,14,CoFe6O7,As4Mn10,Co6Mn4P4,False,False,1.857142857142857,2.0,0.2,0.0,False,False
83182,12,Eu2Li2Mn2O6,C4Mn8,C4Fe3Mn5,False,False,1.6666666666666665,1.6666666666666667,0.16666666666666666,0.2,True,False
83183,16,AlFe11Ga2Mn2,C4Mn12,Fe7Mn9,False,False,0.875,1.75,0.5,0.2,False,False
83184,10,H2Al2Fe6,C2Fe2Mn6,Fe8P2,False,False,0.8000000000000002,1.5999999999999999,0.25,0.2,False,False
83185,2,Fe2,AuGd,HGd,False,False,2.0,2.0,0.0,0.0,False,False
83186,18,Fe5LiNi2O9Zn,C5Mn12Pt,C2Fe2Mn14,False,False,1.777777777777778,2.0,0.14285714285714285,0.0,False,False
83187,15,As7Eu8,Mn14V,Fe4Mn11,False,False,2.0,2.0,0.0,0.0,False,False
83188,4,HEuSbZn,EuHg2Zn,EuNZn2,False,False,1.0,1.0,0.4,0.4,False,False
83189,12,Fe9Tm3,C4Mn8,Fe8P4,False,False,0.6666666666666666,2.0,0.3333333333333333,0.0,False,False
83190,5,Au2Eu2Sn,AsEu2PSn,Eu2Li2Sn,False,False,0.8,0.8,0.5,0.4,False,False
83191,9,Eu6In2Zn,C5Mn4,Eu3In3Pt3,False,False,0.8888888888888888,2.0,0.5,0.0,False,False
83192,4,Eu3Ga,HEuPtSn,Eu3Ga,True,False,0.0,1.5,1.0,0.2,False,False
83193,6,H2Fe3Zn,Mn4Pt2,Fe4Mn2,False,False,0.9999999999999999,1.9999999999999998,0.25,0.0,False,False
83194,12,As5Eu6Li,C5Fe2Mn5,Eu5Pt4Si3,False,False,1.1666666666666665,2.0,0.2,0.0,False,False
83195,4,CoFeIrRh,H2EuRh,HMnO2,False,False,2.0,1.5,0.0,0.16666666666666666,False,False
83196,18,B6Co11Gd,C7Mn11,C6Mn12,False,False,1.9999999999999998,2.0,0.0,0.0,False,False
83197,12,F4Fe4O4,C4Mn8,FFe4Li2O5,False,False,0.5,1.9999999999999998,0.75,0.0,False,False
83198,20,BaEu4Fe4O11,C7Mn13,C2Mn12O2Pt4,False,False,1.8,2.0,0.14285714285714285,0.0,False,True
83199,8,Eu3O4Sr,As4Mn4,Eu4Pt4,False,False,1.25,2.0,0.25,0.0,False,False
83200,4,GdRh2Y,MnRh2Zn,Eu2RhZn,False,False,1.5,1.0,0.2,0.2,False,False
83201,5,Eu4Na,ErFeMn3,Eu4Mg,False,False,0.4,2.0,0.3333333333333333,0.0,False,False
83202,12,Co5Fe2Ir2Ni2Rh,C4Mn8,C2CoMn4Ni3Se2,False,False,1.5,2.0,0.25,0.0,True,False
83203,16,B3Fe3Ni10,C4Mn12,B2Gd4Pd10,False,False,1.75,2.0,0.2,0.0,True,False
83204,8,Fe6Pt2,C3Mn5,Eu6Ge2,False,False,2.0,2.0,0.0,0.0,False,False
83205,12,Cd2Eu6Sb4,Mn8Sb4,Cd4Gd4Si4,False,False,1.6666666666666665,1.3333333333333333,0.2,0.25,False,False
83206,4,Eu3Ga,AsEu2Hg,Eu3Lu,False,False,0.5,1.0,0.3333333333333333,0.25,False,False
83207,6,Fe2Rh4,As2Mn4,Al2Eu2Zn2,False,False,1.9999999999999998,2.0,0.0,0.0,False,False
83208,4,CoFeNi2,Eu3Rh,CaEuGaZn,False,False,2.0,2.0,0.0,0.0,False,False
83209,16,H4Au2Fe6Ni4,As2Mn14,Fe4Mn12,False,False,1.5,2.0,0.2,0.0,False,False
83210,10,CAlEu5O3,C2Al2Mn6,Al2Eu4Pt4,False,False,1.0,1.6000000000000003,0.4,0.4,False,False
83211,12,Co9Eu3,C4Mn8,Co11Zr,False,False,0.49999999999999994,1.9999999999999998,0.3333333333333333,0.0,False,False
83212,9,BCo6Eu2,C3Mn6,Eu6Ge3,False,False,1.5555555555555556,1.9999999999999998,0.25,0.0,False,False
83213,10,Gd2MnO3Sb2Ti2,As2Mn8,Eu3PbPt6,False,False,2.0000000000000004,1.8,0.0,0.16666666666666666,False,False
83214,14,F3Fe3O8,Mn12Sb2,C4Mn10,False,False,2.0,1.9999999999999998,0.0,0.0,True,True
83215,18,C6Cr2Fe3Mn7,C6FeMn11,C5Fe2Mn11,False,False,0.4444444444444444,0.4444444444444445,0.75,0.75,True,False
83216,10,Eu2Ge4MnPd3,C2Mn8,Al4Au2Eu4,False,False,1.6,1.8000000000000003,0.16666666666666666,0.2,False,False
83217,4,HFe3,As2EuMn,AlGa2Li,False,False,2.0,2.0,0.0,0.0,False,False
83218,5,C3Eu2,C2EuMn2,C2Eu2Mn,False,False,0.39999999999999997,0.8,0.6666666666666666,0.6666666666666666,False,False
83219,12,CuEu3NdO7,C3Mn8N,Eu4Pd3Pt2Sn3,False,False,1.5,1.9999999999999998,0.14285714285714285,0.0,False,False
83220,5,AlEu3O,CMn3Zn,HFe3Ga,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83221,4,FeNi2Pd,Mn2Pt2,FeGeNi2,False,False,0.5,2.0,0.5,0.0,False,False
83222,8,Eu6Ge2,C4Mn4,Eu7Sr,False,False,0.5,2.0,0.3333333333333333,0.0,False,False
83223,16,Fe3Li3Mn2O8,Mn12Os2Re2,Fe5Mn11,False,False,1.375,1.75,0.5,0.16666666666666666,False,False
