method,category,item,count,share,value,reference_method
M1,element_frequency,F,10,0.034482758620689655,,
M1,element_frequency,Fe,39,0.13448275862068965,,
M1,element_frequency,Gd,1,0.0034482758620689655,,
M1,element_frequency,Ge,2,0.006896551724137931,,
M1,element_frequency,H,2,0.006896551724137931,,
M1,element_frequency,Ir,4,0.013793103448275862,,
M1,element_frequency,Li,7,0.02413793103448276,,
M1,element_frequency,Mg,3,0.010344827586206896,,
M1,element_frequency,Mn,25,0.08620689655172414,,
M1,element_frequency,Nb,2,0.006896551724137931,,
M1,element_frequency,Nd,3,0.010344827586206896,,
M1,element_frequency,Ni,71,0.24482758620689654,,
M1,element_frequency,O,36,0.12413793103448276,,
M1,element_frequency,Pb,1,0.0034482758620689655,,
M1,element_frequency,Pd,11,0.03793103448275862,,
M1,element_frequency,Pr,2,0.006896551724137931,,
M1,element_frequency,Pt,1,0.0034482758620689655,,
M1,element_frequency,Rh,1,0.0034482758620689655,,
M1,element_frequency,Si,2,0.006896551724137931,,
M1,element_frequency,Tl,1,0.0034482758620689655,,
M1,element_frequency,V,1,0.0034482758620689655,,
M1,element_frequency,W,1,0.0034482758620689655,,
M1,element_frequency,Zn,7,0.02413793103448276,,
M1,atom_count_frequency,10,4,0.125,,
M1,atom_count_frequency,11,1,0.03125,,
M1,atom_count_frequency,12,3,0.09375,,
M1,atom_count_frequency,14,2,0.0625,,
M1,atom_count_frequency,16,1,0.03125,,
M1,atom_count_frequency,18,1,0.03125,,
M1,atom_count_frequency,20,2,0.0625,,
M1,atom_count_frequency,3,2,0.0625,,
M1,atom_count_frequency,4,7,0.21875,,
M1,atom_count_frequency,6,3,0.09375,,
M1,atom_count_frequency,8,5,0.15625,,
M1,atom_count_frequency,9,1,0.03125,,
M1,composition_family_frequency,As-Eu-Li,1,0.03125,,
M1,composition_family_frequency,As-Eu-Pd,1,0.03125,,
M1,composition_family_frequency,Au-Eu-Pd,1,0.03125,,
M1,composition_family_frequency,Au-Eu-Tl,1,0.03125,,
M1,composition_family_frequency,Be-Co-Mn,1,0.03125,,
M1,composition_family_frequency,Cd-Eu-Pb,1,0.03125,,
M1,composition_family_frequency,Cd-Fe-Mn-O,1,0.03125,,
M1,composition_family_frequency,Co-Eu-Pd,1,0.03125,,
M1,composition_family_frequency,Co-Fe-Zn,1,0.03125,,
M1,composition_family_frequency,Co-Mn-Ni,1,0.03125,,
M1,composition_family_frequency,Eu-Fe-Ni,1,0.03125,,
M1,composition_family_frequency,Eu-Mg,1,0.03125,,
M1,composition_family_frequency,Eu-Ni,1,0.03125,,
M1,composition_family_frequency,Eu-Pr,1,0.03125,,
M1,composition_family_frequency,Eu-Si,1,0.03125,,
M1,composition_family_frequency,Eu-Zn,1,0.03125,,
M1,composition_family_frequency,F-Fe-Li-Ni-O,1,0.03125,,
M1,composition_family_frequency,Fe-Gd-Ni,1,0.03125,,
M1,composition_family_frequency,Fe-H-Zn,1,0.03125,,
M1,composition_family_frequency,Fe-Ir-Ni,1,0.03125,,
M1,composition_family_frequency,Fe-Mg-Mn-O,1,0.03125,,
M1,composition_family_frequency,Fe-Mn-Ni,1,0.03125,,
M1,composition_family_frequency,Fe-Mn-Pt,1,0.03125,,
M1,composition_family_frequency,Fe-Nb-Ni,1,0.03125,,
M1,composition_family_frequency,Fe-Nd,1,0.03125,,
M1,composition_family_frequency,Fe-Ni-Rh,1,0.03125,,
M1,composition_family_frequency,Fe-Ni-Zn,1,0.03125,,
M1,composition_family_frequency,Ge-H-Mn-O,1,0.03125,,
M1,composition_family_frequency,Ir-Mn-W,1,0.03125,,
M1,composition_family_frequency,Li-Mn-Ni-O,1,0.03125,,
M1,composition_family_frequency,Mn-Ni,1,0.03125,,
M1,composition_family_frequency,Mn-O-V-Zn,1,0.03125,,
M1,reduced_formula_frequency,Eu2CdPb,1,0.03125,,
M1,reduced_formula_frequency,Eu2TlAu,1,0.03125,,
M1,reduced_formula_frequency,Eu3(AsPd2)2,1,0.03125,,
M1,reduced_formula_frequency,Eu3Mg,1,0.03125,,
M1,reduced_formula_frequency,Eu3Ni2,1,0.03125,,
M1,reduced_formula_frequency,Eu7Pd6Au,1,0.03125,,
M1,reduced_formula_frequency,EuCo4Pd,1,0.03125,,
M1,reduced_formula_frequency,EuFe2Ni3,1,0.03125,,
M1,reduced_formula_frequency,EuSi,1,0.03125,,
M1,reduced_formula_frequency,EuZn2,1,0.03125,,
M1,reduced_formula_frequency,Fe3Ni2Rh,1,0.03125,,
M1,reduced_formula_frequency,FeNi2Ir,1,0.03125,,
M1,reduced_formula_frequency,GdFe2Ni9,1,0.03125,,
M1,reduced_formula_frequency,Li2Fe2Ni3OF10,1,0.03125,,
M1,reduced_formula_frequency,Li4Eu2As5,1,0.03125,,
M1,reduced_formula_frequency,LiMn3Ni3O7,1,0.03125,,
M1,reduced_formula_frequency,MgMn(FeO3)2,1,0.03125,,
M1,reduced_formula_frequency,Mn2BeCo,1,0.03125,,
M1,reduced_formula_frequency,Mn2CdFeO4,1,0.03125,,
M1,reduced_formula_frequency,Mn2FeNi13,1,0.03125,,
M1,reduced_formula_frequency,Mn2FePt,1,0.03125,,
M1,reduced_formula_frequency,Mn2VZnO6,1,0.03125,,
M1,reduced_formula_frequency,Mn3Ni7,1,0.03125,,
M1,reduced_formula_frequency,MnCoNi2,1,0.03125,,
M1,reduced_formula_frequency,MnGe2HO6,1,0.03125,,
M1,reduced_formula_frequency,MnIr2W,1,0.03125,,
M1,reduced_formula_frequency,NbFeNi4,1,0.03125,,
M1,reduced_formula_frequency,NdFe3,1,0.03125,,
M1,reduced_formula_frequency,PrEu3,1,0.03125,,
M1,reduced_formula_frequency,ZnFe3Co,1,0.03125,,
M1,reduced_formula_frequency,ZnFe3Ni4,1,0.03125,,
M1,reduced_formula_frequency,ZnFeH,1,0.03125,,
M2,summary,structure_count,,,32,
M2,summary,total_atom_count,,,290,
M2,summary,unique_element_count,,,23,
M2,summary,unique_atom_count_count,,,12,
M2,summary,unique_composition_family_count,,,26,
M2,summary,unique_reduced_formula_count,,,31,
M2,summary,element_entropy_nats,,,2.3755929460838083,
M2,summary,atom_count_entropy_nats,,,2.279351688255802,
M2,summary,composition_family_entropy_nats,,,3.1731027011044626,
M2,summary,atom_count_mean,,,9.0625,
M2,summary,atom_count_median,,,8.0,
M2,summary,atom_count_std,,,4.795424251304571,
M2,summary,atom_count_min,,,3,
M2,summary,atom_count_max,,,20,
M2,summary,largest_composition_family_share,,,0.09375,
M2,summary,largest_reduced_formula_share,,,0.0625,
M2,element_frequency,As,1,0.0034482758620689655,,
M2,element_frequency,Cl,1,0.0034482758620689655,,
M2,element_frequency,Co,16,0.05517241379310345,,
M2,element_frequency,Dy,1,0.0034482758620689655,,
M2,element_frequency,Eu,48,0.16551724137931034,,
M2,element_frequency,F,8,0.027586206896551724,,
M2,element_frequency,Fe,32,0.1103448275862069,,
M2,element_frequency,Gd,1,0.0034482758620689655,,
M2,element_frequency,Ge,2,0.006896551724137931,,
M2,element_frequency,H,15,0.05172413793103448,,
M2,element_frequency,In,2,0.006896551724137931,,
M2,element_frequency,Ir,4,0.013793103448275862,,
M2,element_frequency,Li,11,0.03793103448275862,,
M2,element_frequency,Mg,1,0.0034482758620689655,,
M2,element_frequency,Mn,19,0.06551724137931035,,
M2,element_frequency,Ni,77,0.2655172413793103,,
M2,element_frequency,O,24,0.08275862068965517,,
M2,element_frequency,Pb,2,0.006896551724137931,,
M2,element_frequency,Rh,3,0.010344827586206896,,
M2,element_frequency,Sb,2,0.006896551724137931,,
M2,element_frequency,Tl,1,0.0034482758620689655,,
M2,element_frequency,Y,2,0.006896551724137931,,
M2,element_frequency,Zn,17,0.05862068965517241,,
M2,atom_count_frequency,10,4,0.125,,
M2,atom_count_frequency,11,1,0.03125,,
M2,atom_count_frequency,12,3,0.09375,,
M2,atom_count_frequency,14,2,0.0625,,
M2,atom_count_frequency,16,1,0.03125,,
M2,atom_count_frequency,18,1,0.03125,,
M2,atom_count_frequency,20,2,0.0625,,
M2,atom_count_frequency,3,2,0.0625,,
M2,atom_count_frequency,4,7,0.21875,,
M2,atom_count_frequency,6,3,0.09375,,
M2,atom_count_frequency,8,5,0.15625,,
M2,atom_count_frequency,9,1,0.03125,,
M2,composition_family_frequency,As-Cl-Eu,1,0.03125,,
M2,composition_family_frequency,Co-Fe,1,0.03125,,
M2,composition_family_frequency,Co-Fe-Ni,1,0.03125,,
M2,composition_family_frequency,Co-Fe-Zn,1,0.03125,,
M2,composition_family_frequency,Co-Rh,2,0.0625,,
M2,composition_family_frequency,Dy-Gd-Li,1,0.03125,,
M2,composition_family_frequency,Eu-Fe-H,1,0.03125,,
M2,composition_family_frequency,Eu-Ge-Sb,1,0.03125,,
M2,composition_family_frequency,Eu-Ge-Zn,1,0.03125,,
M2,composition_family_frequency,Eu-Li-Zn,1,0.03125,,
M2,composition_family_frequency,Eu-Mg-Tl,1,0.03125,,
M2,composition_family_frequency,Eu-Ni,3,0.09375,,
M2,composition_family_frequency,Eu-O,1,0.03125,,
M2,composition_family_frequency,Eu-Pb,1,0.03125,,
M2,composition_family_frequency,Eu-Y,1,0.03125,,
M2,composition_family_frequency,Eu-Zn,1,0.03125,,
M2,composition_family_frequency,F-Fe,1,0.03125,,
M2,composition_family_frequency,Fe-Ir-Ni,1,0.03125,,
M2,composition_family_frequency,Fe-Li-Mn-O,1,0.03125,,
M2,composition_family_frequency,Fe-Ni,1,0.03125,,
M2,composition_family_frequency,Fe-Ni-Zn,3,0.09375,,
M2,composition_family_frequency,H-Mn-Ni,2,0.0625,,
M2,composition_family_frequency,In-Mn-Ni,1,0.03125,,
M2,composition_family_frequency,Ir-Mn,1,0.03125,,
M2,composition_family_frequency,Li-Mn-Ni-O,1,0.03125,,
M2,composition_family_frequency,Mn-Ni,1,0.03125,,
M2,reduced_formula_frequency,Co2Rh,1,0.03125,,
M2,reduced_formula_frequency,Co5Rh,1,0.03125,,
M2,reduced_formula_frequency,Eu2AsCl,1,0.03125,,
M2,reduced_formula_frequency,Eu2MgTl,1,0.03125,,
M2,reduced_formula_frequency,Eu2Ni,1,0.03125,,
M2,reduced_formula_frequency,Eu2Ni3,1,0.03125,,
M2,reduced_formula_frequency,Eu2O3,1,0.03125,,
M2,reduced_formula_frequency,Eu2ZnGe,1,0.03125,,
M2,reduced_formula_frequency,Eu3Pb,1,0.03125,,
M2,reduced_formula_frequency,Eu3Y,1,0.03125,,
M2,reduced_formula_frequency,Eu6GeSb2,1,0.03125,,
M2,reduced_formula_frequency,EuFeH3,1,0.03125,,
M2,reduced_formula_frequency,EuNi5,1,0.03125,,
M2,reduced_formula_frequency,EuZn2,1,0.03125,,
M2,reduced_formula_frequency,FeCo,1,0.03125,,
M2,reduced_formula_frequency,FeCoNi2,1,0.03125,,
M2,reduced_formula_frequency,FeF2,1,0.03125,,
M2,reduced_formula_frequency,FeNi2,1,0.03125,,
M2,reduced_formula_frequency,FeNi5Ir2,1,0.03125,,
M2,reduced_formula_frequency,Li2GdDy,1,0.03125,,
M2,reduced_formula_frequency,Li3(EuZn3)2,1,0.03125,,
M2,reduced_formula_frequency,Li5Mn2Ni3O10,1,0.03125,,
M2,reduced_formula_frequency,LiMn4FeO8,1,0.03125,,
M2,reduced_formula_frequency,Mn2InNi7,1,0.03125,,
M2,reduced_formula_frequency,Mn2Ni5H7,1,0.03125,,
M2,reduced_formula_frequency,MnIr,1,0.03125,,
M2,reduced_formula_frequency,MnNi3,1,0.03125,,
M2,reduced_formula_frequency,MnNiH2,1,0.03125,,
M2,reduced_formula_frequency,ZnFe2Ni,2,0.0625,,
M2,reduced_formula_frequency,ZnFe3Co,1,0.03125,,
M2,reduced_formula_frequency,ZnFeNi,1,0.03125,,
M1,distribution_comparison,element_frequency_jensen_shannon_nats,,,0.14625332677279043,C0
M1,distribution_comparison,atom_count_frequency_jensen_shannon_nats,,,0.0,C0
M1,distribution_comparison,composition_family_frequency_jensen_shannon_nats,,,0.6498254817749485,C0
M1,distribution_comparison,reduced_formula_frequency_jensen_shannon_nats,,,0.6498254817749487,C0
M2,distribution_comparison,element_frequency_jensen_shannon_nats,,,0.1568113679529375,C0
M2,distribution_comparison,atom_count_frequency_jensen_shannon_nats,,,0.0,C0
M2,distribution_comparison,composition_family_frequency_jensen_shannon_nats,,,0.6498254817749485,C0
M2,distribution_comparison,reduced_formula_frequency_jensen_shannon_nats,,,0.6714863311674468,C0
M2,distribution_comparison,element_frequency_jensen_shannon_nats,,,0.07064393293520208,M1
M2,distribution_comparison,atom_count_frequency_jensen_shannon_nats,,,0.0,M1
M2,distribution_comparison,composition_family_frequency_jensen_shannon_nats,,,0.5145510405201028,M1
M2,distribution_comparison,reduced_formula_frequency_jensen_shannon_nats,,,0.6498254817749486,M1
